distance,elevation,from,to
327.3377265260221,-303,TA00020,TA00021
154.37349484407568,852,TA00020,TA00023
67.8054032823809,123,TA00020,TA00024
40.70524319269675,-155,TA00020,TA00025
170.31317428259314,-293,TA00020,TA00026
210.2843790856768,36,TA00020,TA00027
191.51777816664946,-373,TA00020,TA00028
131.75102108072093,-880,TA00020,TA00029
124.45144926991573,-279,TA00020,TA00030
201.50555548409383,-865,TA00020,TA00054
108.28074560904459,267,TA00020,TA00056
44.519409380260946,7,TA00020,TA00057
228.41891196892897,-325,TA00020,TA00061
362.730079848601,-78,TA00020,TA00064
312.2595554415387,77,TA00020,TA00065
48.53091220000461,-353,TA00020,TA00066
85.76108804544174,459,TA00020,TA00067
416.485557993795,1511,TA00020,TA00068
418.34820168116096,1588,TA00020,TA00069
406.2381267050683,1400,TA00020,TA00070
426.7338871778737,1620,TA00020,TA00071
411.16224594194887,1629,TA00020,TA00072
176.05443546690913,-197,TA00020,TA00073
123.17877655330992,-79,TA00020,TA00074
261.07705398280893,473,TA00020,TA00076
244.4046970051588,-122,TA00020,TA00077
327.3377265260221,303,TA00021,TA00020
473.30229542484904,1155,TA00021,TA00023
291.0625328702984,426,TA00021,TA00024
289.10334025880485,148,TA00021,TA00025
160.555028375523,10,TA00021,TA00026
286.6613856514238,339,TA00021,TA00027
232.8282347468213,-70,TA00021,TA00028
210.49411168323024,-577,TA00021,TA00029
220.96602201929636,24,TA00021,TA00030
126.92526901756749,-562,TA00021,TA00054
274.12912767457175,570,TA00021,TA00056
291.5713492128097,310,TA00021,TA00057
126.76146340908643,-22,TA00021,TA00061
52.22491887515409,225,TA00021,TA00064
75.06699371814729,380,TA00021,TA00065
279.3250017245795,-50,TA00021,TA00066
393.1222773517779,762,TA00021,TA00067
741.872576304574,1814,TA00021,TA00068
743.9400182742257,1891,TA00021,TA00069
731.7005304989477,1703,TA00021,TA00070
752.3049004964079,1923,TA00021,TA00071
733.1143417473805,1932,TA00021,TA00072
216.37068693470414,106,TA00021,TA00073
257.57686292623225,224,TA00021,TA00074
118.43874480710646,776,TA00021,TA00076
127.42158826024134,181,TA00021,TA00077
154.37349484407568,-852,TA00023,TA00020
473.30229542484904,-1155,TA00023,TA00021
183.50884401578975,-729,TA00023,TA00024
186.70102286505858,-1007,TA00023,TA00025
312.81044395411044,-1145,TA00023,TA00026
275.9434984267915,-816,TA00023,TA00027
288.532199011127,-1225,TA00023,TA00028
264.872677478103,-1732,TA00023,TA00029
278.7802782457075,-1131,TA00023,TA00030
350.9411240590921,-1717,TA00023,TA00054
210.37360201593557,-585,TA00023,TA00056
182.397855283148,-845,TA00023,TA00057
382.23255783338055,-1177,TA00023,TA00061
512.569466517213,-930,TA00023,TA00064
465.1297314833851,-775,TA00023,TA00065
197.6523790713266,-1205,TA00023,TA00066
80.94559438112363,-393,TA00023,TA00067
269.9479248800343,659,TA00023,TA00068
272.27851954141045,736,TA00023,TA00069
259.9378974243844,548,TA00023,TA00070
280.56169120352456,768,TA00023,TA00071
259.85251791864005,777,TA00023,TA00072
285.5063521251198,-1049,TA00023,TA00073
229.36232541742552,-931,TA00023,TA00074
415.25349160441357,-379,TA00023,TA00076
398.6220795000797,-974,TA00023,TA00077
67.8054032823809,-123,TA00024,TA00020
291.0625328702984,-426,TA00024,TA00021
183.50884401578975,729,TA00024,TA00023
40.75897335913705,-278,TA00024,TA00025
130.72998098454153,-416,TA00024,TA00026
143.29827641372086,-87,TA00024,TA00027
124.75697721860134,-496,TA00024,TA00028
81.38836864017894,-1003,TA00024,TA00029
128.24032332479842,-402,TA00024,TA00030
173.2067220664663,-988,TA00024,TA00054
40.484411835719534,144,TA00024,TA00056
29.132127319974657,-116,TA00024,TA00057
213.9023279213678,-448,TA00024,TA00061
332.7876553502644,-201,TA00024,TA00064
290.9964133123264,-46,TA00024,TA00065
47.74181851908603,-476,TA00024,TA00066
102.64299400074493,336,TA00024,TA00067
453.39221632822864,1388,TA00024,TA00068
455.67355760912886,1465,TA00024,TA00069
443.34612673635047,1277,TA00024,TA00070
463.9780905327227,1497,TA00024,TA00071
442.6606130352376,1506,TA00024,TA00072
111.89205939584939,-320,TA00024,TA00073
56.31850803502837,-202,TA00024,TA00074
248.4288209967953,350,TA00024,TA00076
232.7937158992239,-245,TA00024,TA00077
40.70524319269675,155,TA00025,TA00020
289.10334025880485,-148,TA00025,TA00021
186.70102286505858,1007,TA00025,TA00023
40.75897335913705,278,TA00025,TA00024
130.52986956135584,-138,TA00025,TA00026
181.55630019755537,191,TA00025,TA00027
155.79611996349624,-218,TA00025,TA00028
91.11561671533222,-725,TA00025,TA00029
99.19510340059344,-124,TA00025,TA00030
164.64260798405792,-710,TA00025,TA00054
77.44714883340696,422,TA00025,TA00056
11.995076095877385,162,TA00025,TA00057
196.69535040864932,-170,TA00025,TA00061
326.3584265677969,77,TA00025,TA00064
278.5836938035252,232,TA00025,TA00065
11.607953842215329,-198,TA00025,TA00066
110.21686542494434,614,TA00025,TA00067
453.08213353603685,1666,TA00025,TA00068
455.0789727888145,1743,TA00025,TA00069
442.87847983402736,1555,TA00025,TA00070
463.4543161255406,1775,TA00025,TA00071
445.9447885235158,1784,TA00025,TA00072
138.14286535404463,-42,TA00025,TA00073
88.9611449391703,76,TA00025,TA00074
